,m,P,r,l,T,ρ,ε,κ,∇_ad,∇,nature
68,1.807891057017807e+32,1.1862329047143186e+17,8551153796.3834,3.4477360680632986e+33,13973858.221876375,62.77852513746438,12.282356612491832,1.5393642384243276,0.4,0.3602119138661238,radiative
69,1.834477690170343e+32,1.1815015456553323e+17,8596960506.824852,3.480196115888654e+33,13953707.564140638,62.61851680725385,12.16942978449292,1.5420249004134106,0.4,0.35959097572516857,radiative
70,1.861064323322879e+32,1.1768024283278973e+17,8642407607.129526,3.5123586250305174e+33,13933674.602462243,62.45922774326154,12.058140910461953,1.5446768382599876,0.4,0.3589767246172052,radiative
71,1.8876509564754145e+32,1.1721347468170528e+17,8687505015.759764,3.544228371338042e+33,13913756.598331504,62.300634551801636,11.948444031020662,1.5473202464688178,0.4,0.35836900001967287,radiative
72,1.9142375896279505e+32,1.1674977059583203e+17,8732262061.407402,3.5758099916433785e+33,13893950.924107501,62.14271361905807,11.840294959204595,1.549955298674309,0.4,0.35776763330630024,radiative
73,1.9408242227804865e+32,1.1628905213377045e+17,8776687482.993761,3.607107983761672e+33,13874255.063018093,61.98544111912211,11.733651208428697,1.5525821471814671,0.4,0.35717244703580436,radiative
74,1.9674108559330222e+32,1.1583124192916922e+17,8820789429.669641,3.638126706491063e+33,13854666.609159905,61.82879302195482,11.628471924161856,1.5552009225090302,0.4,0.35658325429987286,radiative
75,1.993997489085558e+32,1.1537626369072533e+17,8864575460.815334,3.66887037961269e+33,13835183.267498331,61.67274510127789,11.52471781908253,1.55781173293459,0.4,0.3559998581248728,radiative
76,2.020584122238094e+32,1.1492404220218403e+17,8908052546.040615,3.6993430838906843e+33,13815802.853867538,61.51727294239603,11.422351111503657,1.5604146640415548,0.4,0.3554220509223374,radiative
77,2.04717075539063e+32,1.1447450332233883e+17,8951227065.184744,3.729548761072177e+33,13796523.294970466,61.362351949955155,11.321335466868556,1.5630097782678003,0.4,0.3548496139838367,radiative
78,2.0737573885431655e+32,1.1402757398503152e+17,8994104808.316465,3.7594912138872914e+33,13777342.628378823,61.207957355640026,11.221635942132874,1.5655971144559016,0.4,0.3542823170163163,radiative
79,2.1003440216957012e+32,1.1358318219915216e+17,9036690975.734013,3.7891741060491476e+33,13758259.002533088,61.05406422581595,11.123218932859968,1.5681766874048364,0.4,0.3537199177144315,radiative
80,2.1269306548482372e+32,1.1314125704863904e+17,9078990177.965103,3.818600962253863e+33,13739270.676742509,60.90064746911852,11.026052122868698,1.5707484874230595,0.4,0.3531621613667842,radiative
81,2.1535172880007732e+32,1.127017286924788e+17,9121006435.76694,3.8477751681805505e+33,13720376.02118511,60.747681843996716,10.93010443628234,1.5733124798829405,0.4,0.3526087804933487,radiative
82,2.180103921153309e+32,1.1226452836470629e+17,9162743180.126205,3.876699970491317e+33,13701573.516907679,60.595141966213546,10.835345991838144,1.5758686047764736,0.4,0.3520594945116592,radiative
83,2.2066905543058446e+32,1.1182958837440462e+17,9204203252.259079,3.905378476831267e+33,13682861.75582578,60.44300231630995,10.741748059325563,1.578416776272302,0.4,0.3515140094296546,radiative
84,2.2332771874583806e+32,1.1139686858354934e+17,9245391019.228184,3.933813756617053e+33,13664239.47081383,60.29125145575255,10.649285667806879,1.5809570168060891,0.4,0.35097213675248945,radiative
85,2.2598638206109166e+32,1.109665468944201e+17,9286327255.43362,3.9620093907592915e+33,13645705.741348045,60.139994542263835,10.557956443382583,1.5834904381317958,0.4,0.3504346396156823,radiative
86,2.2864504537634523e+32,1.1053864930225902e+17,9327019605.629528,3.9899679773185135e+33,13627259.515974944,59.98925531989322,10.467743236508158,1.5860173879695385,0.4,0.3499015725078816,radiative
87,2.313037086915988e+32,1.1011315095993549e+17,9367471526.570385,4.0176918669845083e+33,13608899.69696472,59.839030147722745,10.378624358791875,1.5885379561160302,0.4,0.34937276856483795,radiative
88,2.339623720068524e+32,1.0969002723080949e+17,9407686442.550512,4.0451833911631663e+33,13590625.197352344,59.689315363691506,10.29057869480059,1.5910522323584058,0.4,0.34884807143988467,radiative
89,2.36621035322106e+32,1.0926925368873165e+17,9447667745.404081,4.072444861976477e+33,13572434.940937568,59.54010728569878,10.203585683145846,1.593560306438158,0.4,0.348327334634231,radiative
90,2.3927969863735956e+32,1.0885080611804315e+17,9487418794.505112,4.099478572262531e+33,13554327.862284923,59.391402212706026,10.11762529833398,1.59606226801532,0.4,0.3478104208714988,radiative
91,2.4193836195261313e+32,1.0843466051357586e+17,9526942916.767467,4.126286795575518e+33,13536302.906723714,59.24319642583764,10.032678033344952,1.5985582066328807,0.4,0.347297201513132,radiative
92,2.4459702526786673e+32,1.0802079308065218e+17,9566243406.644861,4.152871786185729e+33,13518359.030348029,59.09548618947991,9.948724882906905,1.6010482116814053,0.4,0.34678755601159583,radiative
93,2.4725568858312033e+32,1.0760918023508518e+17,9605323526.130854,4.179235779079555e+33,13500495.200016735,58.948267752378754,9.865747327434642,1.6035323723639132,0.4,0.34628137139857085,radiative
94,2.499143518983739e+32,1.0719979860317851e+17,9644186504.75885,4.2053809899594874e+33,13482710.393353473,58.80153734873561,9.783727317602404,1.606010777660986,0.4,0.3457785418055582,radiative
95,2.5257301521362746e+32,1.0679262502172646e+17,9682835539.602106,4.231309615244117e+33,13465003.598746665,58.65529119930163,9.702647259521967,1.6084835162961157,0.4,0.3452789680145417,radiative
96,2.5523167852888106e+32,1.0638763653801389e+17,9721273795.273724,4.2570238320681363e+33,13447373.815349512,58.509525512470034,9.622490000499177,1.6109506767012807,0.4,0.34478255703654276,radiative
97,2.5789034184413467e+32,1.0598481040981627e+17,9759504403.926651,4.282525798282337e+33,13429820.053079994,58.364236485366625,9.543238815343049,1.613412346982801,0.4,0.344289221716098,radiative
98,2.6054900515938823e+32,1.0558412410539976e+17,9797530465.253681,4.307817652453611e+33,13412341.332620867,58.219420304938346,9.464877393202775,1.6158686148874049,0.4,0.34379888035981493,radiative
99,2.632076684746418e+32,1.0518555530352102e+17,9835355046.487461,4.332901513864951e+33,13394936.685419666,58.07507314903966,9.387389824909233,1.6183195677685744,0.4,0.3433114563873493,radiative
100,2.658663317898954e+32,1.0478908189342741e+17,9872981182.400478,4.35777948251545e+33,13377605.153688708,57.931191187516994,9.310760590798914,1.6207652925531135,0.4,0.34282687800324635,radiative
101,2.68524995105149e+32,1.0439468197485683e+17,9910411875.305075,4.3824536391203014e+33,13360345.790405083,57.787770583290985,9.234974548998814,1.6232058757080075,0.4,0.3423450778882396,radiative
102,2.7118365842040257e+32,1.0400233385803786e+17,9947650095.053429,4.4069260451107975e+33,13343157.659310665,57.6448074934365,9.160016924152277,1.6256414032075008,0.4,0.3418659929086785,radiative
103,2.7384232173565613e+32,1.0361201606368962e+17,9984698779.037577,4.4311987426343323e+33,13326039.8349121,57.502298070260366,9.085873296566566,1.6280719605004585,0.4,0.3413895638428912,radiative
104,2.7650098505090974e+32,1.032237073230219e+17,10021560832.189398,4.4552737545544e+33,13308991.40248082,57.36023846237689,9.012529591763775,1.6304976324779743,0.4,0.3409157351233557,radiative
105,2.7915964836616334e+32,1.0283738657773507e+17,10058239126.980616,4.479153084450595e+33,13292011.45805303,57.21862481578098,8.939972070417559,1.6329185034412321,0.4,0.34044445459364686,radiative
106,2.818183116814169e+32,1.0245303298002013e+17,10094736503.422808,4.50283871661861e+33,13275099.108429715,57.07745327491891,8.868187318659539,1.6353346570696505,0.4,0.33997567327921197,radiative
107,2.8447697499667047e+32,1.0207062589255866e+17,10131055769.06739,4.526332616070241e+33,13258253.47117664,56.936719983756646,8.797162238738705,1.6377461763892662,0.4,0.33950934517107645,radiative
108,2.8713563831192407e+32,1.0169014488852286e+17,10167199699.005636,4.5496367285333834e+33,13241473.674624344,56.796421086845854,8.72688404001966,1.6401531437413956,0.4,0.3390454270216726,radiative
